,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
preprocess_ID0000003,None,compute,0,1676927839.0,,,1676927844.0,1676927821.0,1676927840.0,42507916.2,1676927859.0,1676927909.0,1676927851.0,1676927858.0,21936067.0,1676927909.0,1676927914.0,5.0,,15.0,50.0,5.0,19.0,467356066.0,7.0,160257914.0,poseidon,condorpool,poseidon-worker-1-container-40-47,preprocess,/srv/preprocess,,4.3,0,0,,,,,,,,,
nlp_ID0000002,None,compute,0,1676927839.0,,,1676927844.0,1676927821.0,1676927838.0,41766885.0,1676927859.0,1676928094.0,1676928039.0,1676928044.0,576082.0,1676928094.0,1676928099.0,5.0,,15.0,235.0,5.0,17.0,369033604.0,5.0,2755872.0,poseidon,condorpool,poseidon-worker-2-container-32-39,nlp,/srv/nlp,,1154.9,0,0,0.1,21385586.0,8791.0,3000.0,5.0,1124.7,2.5,112555.7,879.1
eda_ID0000001,None,compute,0,1676927839.0,,,1676927844.0,1676927821.0,1676927839.0,45172672.0,1676927859.0,1676927934.0,1676927879.0,1676927883.0,270606.0,1676927934.0,1676927939.0,5.0,,15.0,75.0,5.0,18.0,464177772.0,4.0,1196336.0,poseidon,condorpool,poseidon-worker-3-container-16-23,eda,/srv/eda,,33.5,0,0,0.0,144952980.0,877030.0,27581.0,42.0,28.3,1.7,4831766.0,29234.3
feature_eng_1_ID0000005,None,compute,0,1676927914.0,,,1676927919.0,1676927892.0,1676927911.0,46317340.0,1676927931.0,1676927994.0,1676927935.0,1676927946.0,36042227.0,1676927994.0,1676927999.0,5.0,,12.0,63.0,5.0,19.0,528250191.0,11.0,393324463.0,poseidon,condorpool,poseidon-worker-3-container-16-23,feature_eng_1,/srv/feature_eng_1,,15.7,0,0,0.0,169608349.0,8.0,1721.0,1.0,8.0,2.0,16960834.9,0.8
feature_eng_0_ID0000004,None,compute,0,1676927914.0,,,1676927919.0,1676927882.0,1676927900.0,41798287.5,1676927920.0,1676927964.0,1676927911.0,1676927916.0,196553.0,1676927964.0,1676927969.0,5.0,,1.0,44.0,5.0,18.0,369949088.0,5.0,893320.0,poseidon,condorpool,poseidon-worker-1-container-40-47,feature_eng_0,/srv/feature_eng_0,,4.9,0,0,,,,,,,,,
feature_eng_5_ID0000009,None,compute,0,1676927999.0,,,1676928004.0,1676927967.0,1676927992.0,48966873.0,1676928005.0,1676928289.0,1676928225.0,1676928240.0,43061946.0,1676928289.0,1676928294.0,5.0,,1.0,284.0,5.0,25.0,856820455.0,15.0,655540227.0,poseidon,condorpool,poseidon-worker-3-container-16-23,feature_eng_5,/srv/feature_eng_5,,222.9,0,0,0.0,498290530.0,8.0,2018.0,1.0,199.5,20.5,2264957.0,0.8
stage_out_local_condorpool_1_0,None,transfer,0,1676927999.0,,,1676928004.0,,,0.0,1676928004.0,1676928014.0,1676928004.0,1676928008.0,92860436.0,1676928014.0,1676928019.0,5.0,,0.0,10.0,5.0,,,4.0,394217783.0,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,2.2,0,0,,,,,,,,,
feature_eng_3_ID0000007,None,compute,0,1676927999.0,,,1676928004.0,1676927967.0,1676927991.0,46362015.8,1676928005.0,1676928179.0,1676928109.0,1676928133.0,48981453.0,1676928179.0,1676928184.0,5.0,,1.0,174.0,5.0,24.0,762217561.0,24.0,1179971921.0,poseidon,condorpool,poseidon-worker-1-container-40-47,feature_eng_3,/srv/feature_eng_3,,105.8,0,0,0.0,403651527.0,8.0,1492.0,1.0,68.3,31.6,4036515.3,0.8
feature_eng_4_ID0000008,None,compute,0,1676927999.0,,,1676928004.0,1676927981.0,1676928003.0,54409446.6,1676928019.0,1676928134.0,1676928063.0,1676928088.0,49184101.0,1676928134.0,1676928139.0,5.0,,15.0,115.0,5.0,22.0,761328752.0,25.0,1201824259.0,poseidon,condorpool,poseidon-worker-1-container-40-47,feature_eng_4,/srv/feature_eng_4,,48.2,0,0,0.0,402737231.0,8.0,1388.0,1.0,27.9,12.1,10068430.8,0.8
feature_eng_2_ID0000006,None,compute,0,1676927999.0,,,1676928004.0,1676927981.0,1676928004.0,52899211.2,1676928019.0,1676928384.0,1676928303.0,1676928336.0,52245004.0,1676928384.0,1676928389.0,5.0,,15.0,365.0,5.0,23.0,761320658.0,33.0,1748107178.0,poseidon,condorpool,poseidon-worker-3-container-16-23,feature_eng_2,/srv/feature_eng_2,,284.3,0,0,0.0,402814421.0,8.0,1742.0,1.0,212.9,67.1,1438622.9,0.8
register_condorpool_1_0,None,auxiliary,0,1676928019.0,,,1676928024.0,,,0.0,1676928024.0,1676928029.0,,,0.0,1676928029.0,1676928034.0,5.0,,0.0,5.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::rc-client,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client,"pegasus-kickstart  -n pegasus::rc-client -N null -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client --prefix pegasus.catalog.replica.output --conf /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/pegasus.9385574943007781779.properties -v --meta /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/feature_eng_1_ID0000005.meta,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/feature_eng_0_ID0000004.meta --insert /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/register_condorpool_1_0.in",2.9,0,0,,,,,,,,,
stage_out_local_condorpool_0_0,None,transfer,0,1676928099.0,,,1676928104.0,,,0.0,1676928104.0,1676928114.0,1676928105.0,1676928109.0,40729960.0,1676928114.0,1676928119.0,5.0,,0.0,10.0,5.0,,,4.0,164210122.0,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,2.0,0,0,,,,,,,,,
register_condorpool_0_0,None,auxiliary,0,1676928119.0,,,1676928124.0,,,0.0,1676928124.0,1676928129.0,,,0.0,1676928129.0,1676928134.0,5.0,,0.0,5.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::rc-client,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client,"pegasus-kickstart  -n pegasus::rc-client -N null -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client --prefix pegasus.catalog.replica.output --conf /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/pegasus.9385574943007781779.properties -v --meta /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/nlp_ID0000002.meta,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/eda_ID0000001.meta,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/preprocess_ID0000003.meta --insert /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/register_condorpool_0_0.in",3.0,0,0,,,,,,,,,
stage_out_local_condorpool_2_0,None,transfer,0,1676928389.0,,,1676928394.0,,,0.0,1676928394.0,1676928419.0,1676928394.0,1676928414.0,247659798.0,1676928419.0,1676928424.0,5.0,,0.0,25.0,5.0,,,20.0,4785443585.0,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,20.8,0,0,,,,,,,,,
feature_merge_ID0000010,None,compute,0,1676928389.0,,,1676928394.0,1676928357.0,1676928432.0,78180128.9,1676928395.0,1676928625.0,1676928521.0,1676928576.0,54811513.0,1676928625.0,1676928630.0,5.0,,1.0,230.0,5.0,75.0,5155397110.0,55.0,2993643458.0,poseidon,condorpool,poseidon-worker-3-container-16-23,feature_merge,/srv/feature_merge,,60.3,0,0,0.0,4796859790.0,2600318082.0,1452.0,86.0,38.0,22.0,79947663.2,130015904.1
register_condorpool_2_0,None,auxiliary,0,1676928424.0,,,1676928429.0,,,0.0,1676928429.0,1676928434.0,,,0.0,1676928434.0,1676928439.0,5.0,,0.0,5.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::rc-client,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client,"pegasus-kickstart  -n pegasus::rc-client -N null -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client --prefix pegasus.catalog.replica.output --conf /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/pegasus.9385574943007781779.properties -v --meta /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/feature_eng_5_ID0000009.meta,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/feature_eng_2_ID0000006.meta,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/feature_eng_3_ID0000007.meta,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/feature_eng_4_ID0000008.meta --insert /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/register_condorpool_2_0.in",2.9,0,0,,,,,,,,,
stage_inter_local_xgboost_hp_tuning_workflow_ID0000015_0,None,transfer,0,1676928630.0,,,1676928635.0,1676928635.0,1676928637.0,402.0,1676928635.0,1676928645.0,,,0.0,1676928645.0,1676928650.0,5.0,,0.0,10.0,5.0,2.0,826.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.3,0,0,,,,,,,,,
stage_inter_local_xgboost_model_ID0000021_0,None,transfer,0,1676928630.0,,,1676928635.0,1676928635.0,1676928668.0,80376535.0,1676928635.0,1676928675.0,,,0.0,1676928675.0,1676928680.0,5.0,,0.0,40.0,5.0,33.0,2646308508.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,9.3,0,0,,,,,,,,,
stage_inter_local_model_predict_ID0000022_0,None,transfer,0,1676928630.0,,,1676928635.0,1676928635.0,1676928639.0,14037069.0,1676928635.0,1676928645.0,,,0.0,1676928645.0,1676928650.0,5.0,,0.0,10.0,5.0,4.0,54050130.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.6,0,0,,,,,,,,,
stage_out_local_condorpool_3_0,None,transfer,0,1676928630.0,,,1676928635.0,,,0.0,1676928635.0,1676928665.0,1676928635.0,1676928658.0,129246203.0,1676928665.0,1676928670.0,5.0,,0.0,30.0,5.0,,,23.0,2993643458.0,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,14.5,0,0,,,,,,,,,
stage_inter_local_xgboost_model_ID0000013_0,None,transfer,0,1676928630.0,,,1676928635.0,1676928635.0,1676928643.0,35666502.0,1676928635.0,1676928650.0,,,0.0,1676928650.0,1676928655.0,5.0,,0.0,15.0,5.0,8.0,269346726.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,1.4,0,0,,,,,,,,,
stage_inter_local_model_predict_ID0000014_0,None,transfer,0,1676928630.0,,,1676928635.0,1676928635.0,1676928639.0,1221046.0,1676928635.0,1676928645.0,,,0.0,1676928645.0,1676928650.0,5.0,,0.0,10.0,5.0,4.0,4411696.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.4,0,0,,,,,,,,,
xgboost_hp_tuning_workflow_ID0000015,None,compute,0,1676928650.0,,,1676928655.0,,,0.0,1676928656.0,1676928670.0,,,0.0,1676928670.0,1676928675.0,5.0,,1.0,14.0,5.0,,,,,poseidon,local,poseidon-submit.novalocal,xgboost_hp_tuning_workflow,/var/spool/condor/local_univ_execute/dir_33104/xgboost_hp_tuning_workflow,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/xgboost_hp_tuning_workflow_ID0000015.sh,0.1,0,0,,,,,,,,,
xgboost_hp_tuning_workflow_ID0000011,None,compute,0,1676928650.0,,,1676928655.0,,,0.0,1676928656.0,1676928670.0,,,0.0,1676928670.0,1676928675.0,5.0,,1.0,14.0,5.0,,,,,poseidon,local,poseidon-submit.novalocal,xgboost_hp_tuning_workflow,/var/spool/condor/local_univ_execute/dir_33107/xgboost_hp_tuning_workflow,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/xgboost_hp_tuning_workflow_ID0000011.sh,0.1,0,0,,,,,,,,,
xgboost_hp_tuning_workflow_ID0000019,None,compute,0,1676928650.0,,,1676928655.0,,,0.0,1676928657.0,1676928670.0,,,0.0,1676928670.0,1676928675.0,5.0,,2.0,13.0,5.0,,,,,poseidon,local,poseidon-submit.novalocal,xgboost_hp_tuning_workflow,/var/spool/condor/local_univ_execute/dir_33108/xgboost_hp_tuning_workflow,/home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/xgboost_hp_tuning_workflow_ID0000019.sh,0.1,0,0,,,,,,,,,
register_condorpool_3_0,None,auxiliary,0,1676928670.0,,,1676928675.0,,,0.0,1676928675.0,1676928680.0,,,0.0,1676928680.0,1676928685.0,5.0,,0.0,5.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::rc-client,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client,pegasus-kickstart  -n pegasus::rc-client -N null -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client --prefix pegasus.catalog.replica.output --conf /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/pegasus.9385574943007781779.properties -v --meta /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/feature_merge_ID0000010.meta --insert /home/poseidon/workflows/predict-future-sales-workflow/submit/poseidon/pegasus/predict-future-sales/run0036/00/00/register_condorpool_3_0.in,3.1,0,0,,,,,,,,,
pegasus-plan_ID0000016,None,subwf,0,1676928675.0,1676928675.0,1676928680.0,1676928685.0,,,0.0,1676928686.0,1676929005.0,,,0.0,,,0.0,5.0,1.0,319.0,,,,,,poseidon,local,poseidon-submit,condor::dagman,/usr/bin/condor_dagman,-p 0  -f -l . -Notification never -Debug 3 -Lockfile xgboost_hp_tuning_group_1.dag.lock -Dag xgboost_hp_tuning_group_1.dag -AllowVersionMismatch  -AutoRescue 1 -DoRescueFrom 0,0.0,0,0,,,,,,,,,
pegasus-plan_ID0000012,None,subwf,0,1676928675.0,1676928675.0,1676928680.0,1676928685.0,,,0.0,1676928686.0,1676928960.0,,,0.0,,,0.0,5.0,1.0,274.0,,,,,,poseidon,local,poseidon-submit,condor::dagman,/usr/bin/condor_dagman,-p 0  -f -l . -Notification never -Debug 3 -Lockfile xgboost_hp_tuning_group_0.dag.lock -Dag xgboost_hp_tuning_group_0.dag -AllowVersionMismatch  -AutoRescue 1 -DoRescueFrom 0,0.0,0,0,,,,,,,,,
stage_out_local_local_4_0,None,transfer,0,1676928675.0,,,1676928680.0,,,0.0,1676928680.0,1676928690.0,1676928681.0,1676928685.0,21083.0,1676928690.0,1676928695.0,5.0,,0.0,10.0,5.0,,,4.0,85038.0,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.6,0,0,,,,,,,,,
pegasus-plan_ID0000020,None,subwf,0,1676928675.0,1676928675.0,1676928680.0,1676928685.0,,,0.0,1676928686.0,1676929730.0,,,0.0,,,0.0,5.0,1.0,1044.0,,,,,,poseidon,local,poseidon-submit,condor::dagman,/usr/bin/condor_dagman,-p 0  -f -l . -Notification never -Debug 3 -Lockfile xgboost_hp_tuning_group_2.dag.lock -Dag xgboost_hp_tuning_group_2.dag -AllowVersionMismatch  -AutoRescue 1 -DoRescueFrom 0,0.0,0,0,,,,,,,,,
create_dir_predict-future-sales-hp-tuning_0_condorpool_pegasus-plan_ID0000016,None,auxiliary,0,1676928686.0,,,1676928687.0,,,0.0,1676928690.0,1676928697.0,,,0.0,1676928697.0,1676928702.0,1.0,,3.0,7.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L xgboost_hp_tuning_group_1 -T 2023-02-20T21:31:17+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
create_dir_predict-future-sales-hp-tuning_0_condorpool_pegasus-plan_ID0000020,None,auxiliary,0,1676928686.0,,,1676928687.0,,,0.0,1676928690.0,1676928697.0,,,0.0,1676928697.0,1676928702.0,1.0,,3.0,7.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L xgboost_hp_tuning_group_2 -T 2023-02-20T21:31:17+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
create_dir_predict-future-sales-hp-tuning_0_condorpool_pegasus-plan_ID0000012,None,auxiliary,0,1676928686.0,,,1676928687.0,,,0.0,1676928690.0,1676928697.0,,,0.0,1676928697.0,1676928702.0,1.0,,3.0,7.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L xgboost_hp_tuning_group_0 -T 2023-02-20T21:31:17+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
